,zipcode,venues,rating,signals,wsignals
0,20001,3,91.3,1139,9347.1
1,20002,1,8.1,229,1854.9
2,20003,6,40.4,533,4397.6
3,20004,20,176.1,8171,69828.9
4,20005,28,276.1,7846,66059.9
5,20006,21,205,5912,50317.8
6,20007,0,14.1,83,589.2
7,20008,4,29.3,197,1505.7
8,20009,12,146.9,3997,31607.3
9,20010,7,54,915,7526
10,20011,1,0,0,0
11,20012,1,0,0,0
12,20015,0,0,0,0
13,20016,4,19.4,115,773.2
14,20017,2,0,0,0
15,20018,0,0,0,0
16,20019,0,0,0,0
17,20020,0,0,0,0
18,20024,2,22.8,137,1033.1
19,20032,0,0,0,0
20,20036,30,315.7,6198,49104.3
21,20037,11,120.4,2686,22399.9
22,20045,23,242.6,8746,73918.5
23,20052,19,166.7,2424,19173.4
24,20053,3,20.8,442,3420.4
25,20057,1,32.8,665,5597.8
26,20064,2,7.3,18,131.4
27,20202,7,77.7,1553,12725.5
28,20204,3,12.8,70,444.4
29,20228,5,28.7,141,1056.7
30,20230,7,125.3,5226,45620.6
31,20240,6,81,3862,33766.3
32,20245,3,65.5,1117,8865.1
33,20260,7,35.6,207,1477.5
34,20307,1,0,0,0
35,20317,0,8.6,11,94.6
36,20319,0,0,0,0
37,20373,0,0,0,0
38,20390,3,49,729,6083.2
39,20405,11,122.7,4518,38865.8
40,20418,2,65.8,1064,8530.5
41,20427,21,215.6,3694,29797.4
42,20506,16,178,5059,42956.7
43,20510,10,28.4,611,4590.3
44,20520,8,0,0,0
45,20535,19,0,0,0
46,20540,5,0,0,0
47,20551,2,0,0,0
48,20553,8,0,0,0
49,20560,9,0,0,0
50,20565,8,0,0,0
51,20566,5,0,0,0
52,20593,1,0,0,0